登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E10597,1,4,countess,名詞,伯爵夫人、女伯爵,"the wife of a count, or a woman of similar rank",The countess opened her garden to the public.,その伯爵夫人は自分の庭を一般に公開した。,男性は count や earl。-ess は女性を表す接尾辞。,0,
E10598,1,4,customary,形容詞,慣習的な、いつもの,usual because of tradition or habit,It is customary to bring a small gift.,ちょっとした贈り物を持参するのが習慣だ。,名詞は custom（習慣）。It is customary to ～の形で使う。,0,
E10599,1,4,fragrance,名詞,香り、香水,a pleasant smell,The room filled with the fragrance of roses.,部屋はバラの香りで満たされた。,形容詞は fragrant。smell より上品でよい香りを指す。,0,
E10600,1,4,gunfire,名詞,銃撃、発砲音,the sound or act of shooting guns,Residents heard gunfire late at night.,住民は夜遅く銃声を聞いた。,gun（銃）+ fire（発砲）。数えられない名詞として使う。,0,
E10601,1,4,serve a purpose,熟語,役に立つ、目的にかなう,to be useful for a particular reason,This old chair still serves a purpose in my office.,この古い椅子はまだ私の仕事場で役に立っている。,否定形の serve no purpose（何の役にも立たない）もよく使う。,0,
E10602,1,4,slow off the mark,慣用句,反応が遅い、出遅れた,slow to understand or to start doing something,Our team was slow off the mark in the new market.,うちのチームは新しい市場で出遅れた。,陸上のスタート（mark）が語源。反対は quick off the mark。,0,
E10603,1,4,get to the bottom of,熟語,真相を突き止める,to find the real cause or truth of a problem,The manager wants to get to the bottom of the delay.,部長はその遅れの原因を突き止めたがっている。,bottom は「底」。問題の底まで掘り下げる感じで覚える。,0,
E10604,1,4,get wind of,慣用句,うわさを聞きつける,to hear about something secret by chance,Reporters got wind of the merger before it was announced.,記者たちは発表前に合併のうわさを聞きつけた。,動物が風でにおいを察知するイメージ。秘密の情報に使う。,0,
E10605,1,4,lie low,句動詞,身を潜める、目立たないでいる,to stay hidden or avoid attention for a while,He decided to lie low until the scandal passed.,彼はその騒動が収まるまで身を潜めることにした。,lie は「横たわる」。過去形は lay low になる点に注意。,0,
E10606,1,4,square away,句動詞,きちんと片づける、整える,to finish or arrange something properly,Let me square away the paperwork before I leave.,帰る前に書類をきちんと片づけさせてください。,主に米国で使う。square は「きちんとした」の意味を持つ。,0,
E10607,1,4,think twice,熟語,よく考え直す、ためらう,to consider something carefully before deciding,You should think twice before quitting your job.,仕事を辞める前によく考え直したほうがいい。,think twice about doing の形が多い。「2度考える」が直訳。,0,
E10608,1,4,wind back,句動詞,巻き戻す、時をさかのぼる,to move something back to an earlier point,Let me wind back the tape to the key moment.,テープを肝心な場面まで巻き戻させてください。,wind はここでは「ワインド」と読む。時間の話にも使える。,0,
E10609,1,4,count in,句動詞,仲間に入れる、数に入れる,to include someone in an activity or plan,"If you are going hiking, count me in.",ハイキングに行くなら私も入れてください。,Count me in! は「参加します」の決まり文句。反対は count me out。,0,
E10610,1,4,count out,句動詞,除外する、数から外す,to not include someone or something,Count me out of the trip; I have to work.,その旅行は私を外してください。仕事があるので。,お金を1枚ずつ数える意味もある。count in と対で覚える。,0,
E10611,1,4,even the score,慣用句,仕返しをする、五分に戻す,to get revenge or make things equal again,He wanted to even the score after losing last year.,彼は昨年負けた後、雪辱を果たしたがっていた。,score は「得点」。試合で同点にする意味からきた表現。,0,
E10612,1,4,throw cold water on,慣用句,水を差す、けちをつける,to discourage a plan or idea,The boss threw cold water on our travel plan.,上司は私たちの出張計画に水を差した。,日本語の「水を差す」とほぼ同じ発想の言い回し。,0,
E10613,1,4,throw light on,慣用句,解明する、明らかにする,to make something easier to understand,The new data throws light on the cause of the fire.,その新しいデータは火事の原因を明らかにする。,shed light on もほぼ同じ意味でよく使われる。,0,
E10614,1,4,throw off,句動詞,脱ぎ捨てる、調子を狂わせる,to remove quickly; to confuse someone,The noise threw me off during the presentation.,その物音は発表中の私の調子を狂わせた。,上着を脱ぎ捨てる意味と、集中を乱す意味の両方がある。,0,
E10615,1,4,throw together,句動詞,急ごしらえで作る,to make something quickly without much care,She threw together a salad for the guests.,彼女は客のためにさっとサラダを作った。,料理や資料をぱっと用意するときに使う口語表現。,0,
E10616,1,4,throw up,句動詞,吐く、もどす,to bring food up from the stomach through the mouth,The child felt sick and threw up in the car.,その子は気分が悪くなり車の中で吐いた。,vomit のくだけた言い方。手を上げる意味では使わない。,0,
E10617,1,4,budget for,句動詞,～の予算を組む,to plan to spend a certain amount of money on something,We need to budget for new computers this year.,今年は新しいパソコンの予算を組む必要がある。,budget は名詞で「予算」。動詞で使うと計上する意味になる。,0,
E10618,1,4,jack up,句動詞,値上げする、押し上げる,to raise a price or level by a large amount,The stores jacked up prices before the holiday.,店は休暇前に値段を大きく上げた。,車のジャッキが語源。値上げを非難する調子で使う。,0,
E10619,1,4,keep a low profile,慣用句,目立たないようにする,to avoid being noticed by other people,The actor kept a low profile after the trial.,その俳優は裁判の後、目立たないようにしていた。,profile は「輪郭」。低く構える様子から。lie low と近い。,0,
E10620,1,4,pull ahead,句動詞,抜け出す、先行する,to move in front of others in a race or contest,Our team pulled ahead in the final minutes.,私たちのチームは終盤で抜け出した。,選挙や売上の話でもよく使う。反対は fall behind。,0,
E10621,1,4,pull back,句動詞,撤退する、手を引く,to move away or stop being involved,The company pulled back from the Asian market.,その会社はアジア市場から手を引いた。,軍隊の撤退にも、投資を控える意味にも使う。,0,
E10622,1,4,pull in,句動詞,車を寄せて止まる、稼ぐ,to stop a vehicle at the side of the road,He pulled in at a gas station to check the map.,彼は地図を見るためガソリンスタンドに車を寄せた。,口語で「稼ぐ」の意味もある。pull in a big salary など。,0,
E10623,1,4,pull one's weight,慣用句,自分の役割を果たす,to do one's fair share of the work,Everyone must pull their weight on this project.,この企画では全員が自分の役割を果たさなければならない。,ボートで自分の分をこぐ姿から。one's は所有格に変える。,0,
E10624,1,4,pull up,句動詞,車を止める、引き上げる,to stop a vehicle; to bring something up,A taxi pulled up in front of the hotel.,タクシーがホテルの前に止まった。,画面にデータを表示する意味でも使う。pull up the file。,0,
E10625,1,4,push ahead,句動詞,推し進める、前進する,to continue with a plan in a determined way,They pushed ahead with the plan despite the cost.,彼らは費用にもかかわらず計画を推し進めた。,with を伴うことが多い。push on もほぼ同じ意味。,0,
E10626,1,4,heroine,名詞,女性の主人公、女性の英雄,"the main female character in a story, or a brave woman",She is the heroine of the novel we read in class.,彼女は授業で読んだ小説の主人公だ。,男性は hero。麻薬の heroin とつづりが1字違いなので注意。,0,
